week,team,opponent,hypothetical rating,error
10,Florida Atlantic,Alabama-Birmingham,-3.0,75.1
1,Florida Atlantic,Charlotte,-3.0,117.4
8,Florida Atlantic,Rice,-3.0,0.05
3,Florida Atlantic,Southeastern Louisiana,-3.0,112.12
4,Florida Atlantic,Central Florida,-3.0,15.52
6,Florida Atlantic,North Texas,-3.0,3.48
2,Florida Atlantic,Ohio,-3.0,4.41
5,Florida Atlantic,Purdue,-3.0,46.56
9,Florida Atlantic,Texas-El Paso,-3.0,0.17
10,Florida Atlantic,Alabama-Birmingham,-2.0,67.33
1,Florida Atlantic,Charlotte,-2.0,108.55
8,Florida Atlantic,Rice,-2.0,0.42
3,Florida Atlantic,Southeastern Louisiana,-2.0,104.38
4,Florida Atlantic,Central Florida,-2.0,18.98
6,Florida Atlantic,North Texas,-2.0,5.27
2,Florida Atlantic,Ohio,-2.0,2.85
5,Florida Atlantic,Purdue,-2.0,41.0
9,Florida Atlantic,Texas-El Paso,-2.0,0.74
10,Florida Atlantic,Alabama-Birmingham,-1.0,59.99
1,Florida Atlantic,Charlotte,-1.0,100.05
8,Florida Atlantic,Rice,-1.0,1.18
3,Florida Atlantic,Southeastern Louisiana,-1.0,96.91
4,Florida Atlantic,Central Florida,-1.0,22.8
6,Florida Atlantic,North Texas,-1.0,7.43
2,Florida Atlantic,Ohio,-1.0,1.63
5,Florida Atlantic,Purdue,-1.0,35.78
9,Florida Atlantic,Texas-El Paso,-1.0,1.71
10,Florida Atlantic,Alabama-Birmingham,0.0,53.07
1,Florida Atlantic,Charlotte,0.0,91.9
8,Florida Atlantic,Rice,0.0,2.32
3,Florida Atlantic,Southeastern Louisiana,0.0,89.72
4,Florida Atlantic,Central Florida,0.0,26.96
6,Florida Atlantic,North Texas,0.0,9.97
2,Florida Atlantic,Ohio,0.0,0.75
5,Florida Atlantic,Purdue,0.0,30.92
9,Florida Atlantic,Texas-El Paso,0.0,3.1
10,Florida Atlantic,Alabama-Birmingham,1.0,46.57
1,Florida Atlantic,Charlotte,1.0,84.09
8,Florida Atlantic,Rice,1.0,3.84
3,Florida Atlantic,Southeastern Louisiana,1.0,82.81
4,Florida Atlantic,Central Florida,1.0,31.47
6,Florida Atlantic,North Texas,1.0,12.88
2,Florida Atlantic,Ohio,1.0,0.2
5,Florida Atlantic,Purdue,1.0,26.42
9,Florida Atlantic,Texas-El Paso,1.0,4.89
10,Florida Atlantic,Alabama-Birmingham,2.0,40.5
1,Florida Atlantic,Charlotte,2.0,76.63
8,Florida Atlantic,Rice,2.0,5.73
3,Florida Atlantic,Southeastern Louisiana,2.0,76.18
4,Florida Atlantic,Central Florida,2.0,36.34
6,Florida Atlantic,North Texas,2.0,16.16
2,Florida Atlantic,Ohio,2.0,0.0
5,Florida Atlantic,Purdue,2.0,22.27
9,Florida Atlantic,Texas-El Paso,2.0,7.09
10,Florida Atlantic,Alabama-Birmingham,3.0,34.85
1,Florida Atlantic,Charlotte,3.0,69.52
8,Florida Atlantic,Rice,3.0,8.01
3,Florida Atlantic,Southeastern Louisiana,3.0,69.82
4,Florida Atlantic,Central Florida,3.0,41.55
6,Florida Atlantic,North Texas,3.0,19.81
2,Florida Atlantic,Ohio,3.0,0.14
5,Florida Atlantic,Purdue,3.0,18.47
9,Florida Atlantic,Texas-El Paso,3.0,9.69
10,Florida Atlantic,Alabama-Birmingham,4.0,29.63
1,Florida Atlantic,Charlotte,4.0,62.75
8,Florida Atlantic,Rice,4.0,10.67
3,Florida Atlantic,Southeastern Louisiana,4.0,63.74
4,Florida Atlantic,Central Florida,4.0,47.11
6,Florida Atlantic,North Texas,4.0,23.83
2,Florida Atlantic,Ohio,4.0,0.62
5,Florida Atlantic,Purdue,4.0,15.03
9,Florida Atlantic,Texas-El Paso,4.0,12.7
10,Florida Atlantic,Alabama-Birmingham,5.0,24.83
1,Florida Atlantic,Charlotte,5.0,56.33
8,Florida Atlantic,Rice,5.0,13.7
3,Florida Atlantic,Southeastern Louisiana,5.0,57.93
4,Florida Atlantic,Central Florida,5.0,53.01
6,Florida Atlantic,North Texas,5.0,28.22
2,Florida Atlantic,Ohio,5.0,1.44
5,Florida Atlantic,Purdue,5.0,11.95
9,Florida Atlantic,Texas-El Paso,5.0,16.12
10,Florida Atlantic,Alabama-Birmingham,6.0,20.45
1,Florida Atlantic,Charlotte,6.0,50.26
8,Florida Atlantic,Rice,6.0,17.12
3,Florida Atlantic,Southeastern Louisiana,6.0,52.41
4,Florida Atlantic,Central Florida,6.0,59.27
6,Florida Atlantic,North Texas,6.0,32.98
2,Florida Atlantic,Ohio,6.0,2.6
5,Florida Atlantic,Purdue,6.0,9.21
9,Florida Atlantic,Texas-El Paso,6.0,19.95
10,Florida Atlantic,Alabama-Birmingham,7.0,16.5
1,Florida Atlantic,Charlotte,7.0,44.53
8,Florida Atlantic,Rice,7.0,20.92
3,Florida Atlantic,Southeastern Louisiana,7.0,47.16
4,Florida Atlantic,Central Florida,7.0,65.88
6,Florida Atlantic,North Texas,7.0,38.12
2,Florida Atlantic,Ohio,7.0,4.1
5,Florida Atlantic,Purdue,7.0,6.84
9,Florida Atlantic,Texas-El Paso,7.0,24.18
10,Florida Atlantic,Alabama-Birmingham,8.0,12.97
1,Florida Atlantic,Charlotte,8.0,39.15
8,Florida Atlantic,Rice,8.0,25.09
3,Florida Atlantic,Southeastern Louisiana,8.0,42.19
4,Florida Atlantic,Central Florida,8.0,72.83
6,Florida Atlantic,North Texas,8.0,43.62
2,Florida Atlantic,Ohio,8.0,5.94
5,Florida Atlantic,Purdue,8.0,4.81
9,Florida Atlantic,Texas-El Paso,8.0,28.82
10,Florida Atlantic,Alabama-Birmingham,9.0,9.87
1,Florida Atlantic,Charlotte,9.0,34.11
8,Florida Atlantic,Rice,9.0,29.65
3,Florida Atlantic,Southeastern Louisiana,9.0,37.49
4,Florida Atlantic,Central Florida,9.0,80.13
6,Florida Atlantic,North Texas,9.0,49.5
2,Florida Atlantic,Ohio,9.0,8.12
5,Florida Atlantic,Purdue,9.0,3.14
9,Florida Atlantic,Texas-El Paso,9.0,33.87
10,Florida Atlantic,Alabama-Birmingham,10.0,7.19
1,Florida Atlantic,Charlotte,10.0,29.42
8,Florida Atlantic,Rice,10.0,34.58
3,Florida Atlantic,Southeastern Louisiana,10.0,33.07
4,Florida Atlantic,Central Florida,10.0,87.79
6,Florida Atlantic,North Texas,10.0,55.75
2,Florida Atlantic,Ohio,10.0,10.64
5,Florida Atlantic,Purdue,10.0,1.83
9,Florida Atlantic,Texas-El Paso,10.0,39.32
10,Florida Atlantic,Alabama-Birmingham,11.0,4.93
1,Florida Atlantic,Charlotte,11.0,25.08
8,Florida Atlantic,Rice,11.0,39.9
3,Florida Atlantic,Southeastern Louisiana,11.0,28.93
4,Florida Atlantic,Central Florida,11.0,95.79
6,Florida Atlantic,North Texas,11.0,62.37
2,Florida Atlantic,Ohio,11.0,13.5
5,Florida Atlantic,Purdue,11.0,0.87
9,Florida Atlantic,Texas-El Paso,11.0,45.18
10,Florida Atlantic,Alabama-Birmingham,12.0,3.1
1,Florida Atlantic,Charlotte,12.0,21.08
8,Florida Atlantic,Rice,12.0,45.6
3,Florida Atlantic,Southeastern Louisiana,12.0,25.07
4,Florida Atlantic,Central Florida,12.0,104.14
6,Florida Atlantic,North Texas,12.0,69.36
2,Florida Atlantic,Ohio,12.0,16.7
5,Florida Atlantic,Purdue,12.0,0.26
9,Florida Atlantic,Texas-El Paso,12.0,51.45
5,Florida State,Boston College,6.0,57.08
1,Florida State,Duquesne,6.0,59.3
10,Florida State,Georgia Tech,6.0,49.62
2,Florida State,Louisiana State,6.0,14.09
4,Florida State,Louisville,6.0,42.27
8,Florida State,Clemson,6.0,3.63
7,Florida State,North Carolina State,6.0,0.09
6,Florida State,Wake Forest,6.0,13.39
5,Florida State,Boston College,7.0,50.99
1,Florida State,Duquesne,7.0,53.9
10,Florida State,Georgia Tech,7.0,43.44
2,Florida State,Louisiana State,7.0,11.2
4,Florida State,Louisville,7.0,37.09
8,Florida State,Clemson,7.0,5.45
7,Florida State,North Carolina State,7.0,0.01
6,Florida State,Wake Forest,7.0,16.62
5,Florida State,Boston College,8.0,45.24
1,Florida State,Duquesne,8.0,48.75
10,Florida State,Georgia Tech,8.0,37.67
2,Florida State,Louisiana State,8.0,8.65
4,Florida State,Louisville,8.0,32.25
8,Florida State,Clemson,8.0,7.64
7,Florida State,North Carolina State,8.0,0.29
6,Florida State,Wake Forest,8.0,20.21
5,Florida State,Boston College,9.0,39.84
1,Florida State,Duquesne,9.0,43.86
10,Florida State,Georgia Tech,9.0,32.31
2,Florida State,Louisiana State,9.0,6.43
4,Florida State,Louisville,9.0,27.74
8,Florida State,Clemson,9.0,10.2
7,Florida State,North Carolina State,9.0,0.92
6,Florida State,Wake Forest,9.0,24.15
5,Florida State,Boston College,10.0,34.77
1,Florida State,Duquesne,10.0,39.23
10,Florida State,Georgia Tech,10.0,27.36
2,Florida State,Louisiana State,10.0,4.53
4,Florida State,Louisville,10.0,23.58
8,Florida State,Clemson,10.0,13.12
7,Florida State,North Carolina State,10.0,1.92
6,Florida State,Wake Forest,10.0,28.44
5,Florida State,Boston College,11.0,30.06
1,Florida State,Duquesne,11.0,34.86
10,Florida State,Georgia Tech,11.0,22.82
2,Florida State,Louisiana State,11.0,2.97
4,Florida State,Louisville,11.0,19.75
8,Florida State,Clemson,11.0,16.42
7,Florida State,North Carolina State,11.0,3.27
6,Florida State,Wake Forest,11.0,33.07
5,Florida State,Boston College,12.0,25.68
1,Florida State,Duquesne,12.0,30.74
10,Florida State,Georgia Tech,12.0,18.69
2,Florida State,Louisiana State,12.0,1.73
4,Florida State,Louisville,12.0,16.27
8,Florida State,Clemson,12.0,20.08
7,Florida State,North Carolina State,12.0,4.98
6,Florida State,Wake Forest,12.0,38.06
5,Florida State,Boston College,13.0,21.65
1,Florida State,Duquesne,13.0,26.89
10,Florida State,Georgia Tech,13.0,14.98
2,Florida State,Louisiana State,13.0,0.83
4,Florida State,Louisville,13.0,13.12
8,Florida State,Clemson,13.0,24.11
7,Florida State,North Carolina State,13.0,7.04
6,Florida State,Wake Forest,13.0,43.4
5,Florida State,Boston College,14.0,17.97
1,Florida State,Duquesne,14.0,23.29
10,Florida State,Georgia Tech,14.0,11.67
2,Florida State,Louisiana State,14.0,0.25
4,Florida State,Louisville,14.0,10.31
8,Florida State,Clemson,14.0,28.51
7,Florida State,North Carolina State,14.0,9.47
6,Florida State,Wake Forest,14.0,49.09
5,Florida State,Boston College,15.0,14.62
1,Florida State,Duquesne,15.0,19.95
10,Florida State,Georgia Tech,15.0,8.78
2,Florida State,Louisiana State,15.0,0.01
4,Florida State,Louisville,15.0,7.83
8,Florida State,Clemson,15.0,33.28
7,Florida State,North Carolina State,15.0,12.25
6,Florida State,Wake Forest,15.0,55.12
5,Florida State,Boston College,16.0,11.62
1,Florida State,Duquesne,16.0,16.87
10,Florida State,Georgia Tech,16.0,6.3
2,Florida State,Louisiana State,16.0,0.1
4,Florida State,Louisville,16.0,5.7
8,Florida State,Clemson,16.0,38.42
7,Florida State,North Carolina State,16.0,15.39
6,Florida State,Wake Forest,16.0,61.51
5,Florida State,Boston College,17.0,8.97
1,Florida State,Duquesne,17.0,14.05
10,Florida State,Georgia Tech,17.0,4.23
2,Florida State,Louisiana State,17.0,0.51
4,Florida State,Louisville,17.0,3.9
8,Florida State,Clemson,17.0,43.92
7,Florida State,North Carolina State,17.0,18.89
6,Florida State,Wake Forest,17.0,68.25
5,Florida State,Boston College,18.0,6.66
1,Florida State,Duquesne,18.0,11.48
10,Florida State,Georgia Tech,18.0,2.57
2,Florida State,Louisiana State,18.0,1.26
4,Florida State,Louisville,18.0,2.45
8,Florida State,Clemson,18.0,49.79
7,Florida State,North Carolina State,18.0,22.75
6,Florida State,Wake Forest,18.0,75.34
5,Florida State,Boston College,19.0,4.69
1,Florida State,Duquesne,19.0,9.18
10,Florida State,Georgia Tech,19.0,1.32
2,Florida State,Louisiana State,19.0,2.33
4,Florida State,Louisville,19.0,1.33
8,Florida State,Clemson,19.0,56.04
7,Florida State,North Carolina State,19.0,26.96
6,Florida State,Wake Forest,19.0,82.77
5,Florida State,Boston College,20.0,3.07
1,Florida State,Duquesne,20.0,7.13
10,Florida State,Georgia Tech,20.0,0.48
2,Florida State,Louisiana State,20.0,3.74
4,Florida State,Louisville,20.0,0.55
8,Florida State,Clemson,20.0,62.65
7,Florida State,North Carolina State,20.0,31.53
6,Florida State,Wake Forest,20.0,90.56
5,Florida State,Boston College,21.0,1.79
1,Florida State,Duquesne,21.0,5.34
10,Florida State,Georgia Tech,21.0,0.06
2,Florida State,Louisiana State,21.0,5.48
4,Florida State,Louisville,21.0,0.11
8,Florida State,Clemson,21.0,69.63
7,Florida State,North Carolina State,21.0,36.46
6,Florida State,Wake Forest,21.0,98.7
5,Illinois,Chattanooga,17.0,15.72
7,Illinois,Iowa,17.0,0.22
8,Illinois,Minnesota,17.0,16.2
10,Illinois,Nebraska,17.0,18.71
3,Illinois,Virginia,17.0,10.81
6,Illinois,Wisconsin,17.0,148.99
1,Illinois,Wyoming,17.0,15.96
2,Illinois,Indiana,17.0,12.03
5,Illinois,Chattanooga,18.0,13.01
7,Illinois,Iowa,18.0,0.8
8,Illinois,Minnesota,18.0,12.93
10,Illinois,Nebraska,18.0,15.0
3,Illinois,Virginia,18.0,8.29
6,Illinois,Wisconsin,18.0,138.95
1,Illinois,Wyoming,18.0,12.85
2,Illinois,Indiana,18.0,15.02
5,Illinois,Chattanooga,19.0,10.54
7,Illinois,Iowa,19.0,1.74
8,Illinois,Minnesota,19.0,10.03
10,Illinois,Nebraska,19.0,11.69
3,Illinois,Virginia,19.0,6.1
6,Illinois,Wisconsin,19.0,129.26
1,Illinois,Wyoming,19.0,10.07
2,Illinois,Indiana,19.0,18.33
5,Illinois,Chattanooga,20.0,8.34
7,Illinois,Iowa,20.0,3.03
8,Illinois,Minnesota,20.0,7.49
10,Illinois,Nebraska,20.0,8.79
3,Illinois,Virginia,20.0,4.25
6,Illinois,Wisconsin,20.0,119.92
1,Illinois,Wyoming,20.0,7.64
2,Illinois,Indiana,20.0,21.97
5,Illinois,Chattanooga,21.0,6.4
7,Illinois,Iowa,21.0,4.69
8,Illinois,Minnesota,21.0,5.33
10,Illinois,Nebraska,21.0,6.31
3,Illinois,Virginia,21.0,2.73
6,Illinois,Wisconsin,21.0,110.93
1,Illinois,Wyoming,21.0,5.54
2,Illinois,Indiana,21.0,25.95
5,Illinois,Chattanooga,22.0,4.71
7,Illinois,Iowa,22.0,6.7
8,Illinois,Minnesota,22.0,3.53
10,Illinois,Nebraska,22.0,4.24
3,Illinois,Virginia,22.0,1.55
6,Illinois,Wisconsin,22.0,102.3
1,Illinois,Wyoming,22.0,3.77
2,Illinois,Indiana,22.0,30.25
5,Illinois,Chattanooga,23.0,3.28
7,Illinois,Iowa,23.0,9.06
8,Illinois,Minnesota,23.0,2.1
10,Illinois,Nebraska,23.0,2.58
3,Illinois,Virginia,23.0,0.7
6,Illinois,Wisconsin,23.0,94.01
1,Illinois,Wyoming,23.0,2.35
2,Illinois,Indiana,23.0,34.89
5,Illinois,Chattanooga,24.0,2.11
7,Illinois,Iowa,24.0,11.79
8,Illinois,Minnesota,24.0,1.04
10,Illinois,Nebraska,24.0,1.33
3,Illinois,Virginia,24.0,0.18
6,Illinois,Wisconsin,24.0,86.07
1,Illinois,Wyoming,24.0,1.26
2,Illinois,Indiana,24.0,39.85
5,Illinois,Chattanooga,25.0,1.19
7,Illinois,Iowa,25.0,14.88
8,Illinois,Minnesota,25.0,0.35
10,Illinois,Nebraska,25.0,0.49
3,Illinois,Virginia,25.0,0.0
6,Illinois,Wisconsin,25.0,78.48
1,Illinois,Wyoming,25.0,0.51
2,Illinois,Indiana,25.0,45.15
5,Illinois,Chattanooga,26.0,0.54
7,Illinois,Iowa,26.0,18.32
8,Illinois,Minnesota,26.0,0.03
10,Illinois,Nebraska,26.0,0.06
3,Illinois,Virginia,26.0,0.15
6,Illinois,Wisconsin,26.0,71.24
1,Illinois,Wyoming,26.0,0.09
2,Illinois,Indiana,26.0,50.77
5,Illinois,Chattanooga,27.0,0.14
7,Illinois,Iowa,27.0,22.12
8,Illinois,Minnesota,27.0,0.07
10,Illinois,Nebraska,27.0,0.04
3,Illinois,Virginia,27.0,0.64
6,Illinois,Wisconsin,27.0,64.35
1,Illinois,Wyoming,27.0,0.01
2,Illinois,Indiana,27.0,56.73
5,Illinois,Chattanooga,28.0,0.0
7,Illinois,Iowa,28.0,26.28
8,Illinois,Minnesota,28.0,0.48
10,Illinois,Nebraska,28.0,0.44
3,Illinois,Virginia,28.0,1.46
6,Illinois,Wisconsin,28.0,57.82
1,Illinois,Wyoming,28.0,0.27
2,Illinois,Indiana,28.0,63.01
5,Illinois,Chattanooga,29.0,0.12
7,Illinois,Iowa,29.0,30.79
8,Illinois,Minnesota,29.0,1.27
10,Illinois,Nebraska,29.0,1.24
3,Illinois,Virginia,29.0,2.61
6,Illinois,Wisconsin,29.0,51.63
1,Illinois,Wyoming,29.0,0.86
2,Illinois,Indiana,29.0,69.62
5,Illinois,Chattanooga,30.0,0.49
7,Illinois,Iowa,30.0,35.67
8,Illinois,Minnesota,30.0,2.42
10,Illinois,Nebraska,30.0,2.46
3,Illinois,Virginia,30.0,4.1
6,Illinois,Wisconsin,30.0,45.79
1,Illinois,Wyoming,30.0,1.79
2,Illinois,Indiana,30.0,76.57
5,Illinois,Chattanooga,31.0,1.13
7,Illinois,Iowa,31.0,40.9
8,Illinois,Minnesota,31.0,3.94
10,Illinois,Nebraska,31.0,4.09
3,Illinois,Virginia,31.0,5.93
6,Illinois,Wisconsin,31.0,40.3
1,Illinois,Wyoming,31.0,3.06
2,Illinois,Indiana,31.0,83.85
5,Illinois,Chattanooga,32.0,2.02
7,Illinois,Iowa,32.0,46.49
8,Illinois,Minnesota,32.0,5.82
10,Illinois,Nebraska,32.0,6.13
3,Illinois,Virginia,32.0,8.08
6,Illinois,Wisconsin,32.0,35.17
1,Illinois,Wyoming,32.0,4.67
2,Illinois,Indiana,32.0,91.45
1,Nevada,New Mexico State,-15.0,67.39
2,Nevada,Texas State,-15.0,251.41
5,Nevada,Air Force,-15.0,0.0
7,Nevada,Colorado State,-15.0,0.02
8,Nevada,Hawaii,-15.0,5.71
3,Nevada,Incarnate Word,-15.0,1.58
4,Nevada,Iowa,-15.0,8.41
9,Nevada,San Diego State,-15.0,5.89
10,Nevada,San Jose State,-15.0,54.93
1,Nevada,New Mexico State,-14.0,60.82
2,Nevada,Texas State,-14.0,238.5
5,Nevada,Air Force,-14.0,0.14
7,Nevada,Colorado State,-14.0,0.33
8,Nevada,Hawaii,-14.0,8.02
3,Nevada,Incarnate Word,-14.0,0.8
4,Nevada,Iowa,-14.0,6.16
9,Nevada,San Diego State,-14.0,8.25
10,Nevada,San Jose State,-14.0,48.41
1,Nevada,New Mexico State,-13.0,54.59
2,Nevada,Texas State,-13.0,225.93
5,Nevada,Air Force,-13.0,0.64
7,Nevada,Colorado State,-13.0,1.01
8,Nevada,Hawaii,-13.0,10.72
3,Nevada,Incarnate Word,-13.0,0.28
4,Nevada,Iowa,-13.0,4.26
9,Nevada,San Diego State,-13.0,11.0
10,Nevada,San Jose State,-13.0,42.31
1,Nevada,New Mexico State,-12.0,48.69
2,Nevada,Texas State,-12.0,213.7
5,Nevada,Air Force,-12.0,1.49
7,Nevada,Colorado State,-12.0,2.06
8,Nevada,Hawaii,-12.0,13.81
3,Nevada,Incarnate Word,-12.0,0.03
4,Nevada,Iowa,-12.0,2.71
9,Nevada,San Diego State,-12.0,14.15
10,Nevada,San Jose State,-12.0,36.61
1,Nevada,New Mexico State,-11.0,43.14
2,Nevada,Texas State,-11.0,201.81
5,Nevada,Air Force,-11.0,2.7
7,Nevada,Colorado State,-11.0,3.47
8,Nevada,Hawaii,-11.0,17.29
3,Nevada,Incarnate Word,-11.0,0.04
4,Nevada,Iowa,-11.0,1.51
9,Nevada,San Diego State,-11.0,17.7
10,Nevada,San Jose State,-11.0,31.33
1,Nevada,New Mexico State,-10.0,37.91
2,Nevada,Texas State,-10.0,190.26
5,Nevada,Air Force,-10.0,4.26
7,Nevada,Colorado State,-10.0,5.26
8,Nevada,Hawaii,-10.0,21.16
3,Nevada,Incarnate Word,-10.0,0.31
4,Nevada,Iowa,-10.0,0.66
9,Nevada,San Diego State,-10.0,21.64
10,Nevada,San Jose State,-10.0,26.46
1,Nevada,New Mexico State,-9.0,33.03
2,Nevada,Texas State,-9.0,179.05
5,Nevada,Air Force,-9.0,6.17
7,Nevada,Colorado State,-9.0,7.41
8,Nevada,Hawaii,-9.0,25.43
3,Nevada,Incarnate Word,-9.0,0.85
4,Nevada,Iowa,-9.0,0.15
9,Nevada,San Diego State,-9.0,25.97
10,Nevada,San Jose State,-9.0,22.0
1,Nevada,New Mexico State,-8.0,28.48
2,Nevada,Texas State,-8.0,168.18
5,Nevada,Air Force,-8.0,8.44
7,Nevada,Colorado State,-8.0,9.94
8,Nevada,Hawaii,-8.0,30.08
3,Nevada,Incarnate Word,-8.0,1.65
4,Nevada,Iowa,-8.0,0.0
9,Nevada,San Diego State,-8.0,30.7
10,Nevada,San Jose State,-8.0,17.95
1,Nevada,New Mexico State,-7.0,24.27
2,Nevada,Texas State,-7.0,157.65
5,Nevada,Air Force,-7.0,11.06
7,Nevada,Colorado State,-7.0,12.83
8,Nevada,Hawaii,-7.0,35.12
3,Nevada,Incarnate Word,-7.0,2.72
4,Nevada,Iowa,-7.0,0.2
9,Nevada,San Diego State,-7.0,35.83
10,Nevada,San Jose State,-7.0,14.31
1,Nevada,New Mexico State,-6.0,20.4
2,Nevada,Texas State,-6.0,147.47
5,Nevada,Air Force,-6.0,14.04
7,Nevada,Colorado State,-6.0,16.09
8,Nevada,Hawaii,-6.0,40.56
3,Nevada,Incarnate Word,-6.0,4.05
4,Nevada,Iowa,-6.0,0.74
9,Nevada,San Diego State,-6.0,41.35
10,Nevada,San Jose State,-6.0,11.09
1,Nevada,New Mexico State,-5.0,16.86
2,Nevada,Texas State,-5.0,137.62
5,Nevada,Air Force,-5.0,17.37
7,Nevada,Colorado State,-5.0,19.72
8,Nevada,Hawaii,-5.0,46.39
3,Nevada,Incarnate Word,-5.0,5.64
4,Nevada,Iowa,-5.0,1.63
9,Nevada,San Diego State,-5.0,47.26
10,Nevada,San Jose State,-5.0,8.27
1,Nevada,New Mexico State,-4.0,13.66
2,Nevada,Texas State,-4.0,128.11
5,Nevada,Air Force,-4.0,21.05
7,Nevada,Colorado State,-4.0,23.72
8,Nevada,Hawaii,-4.0,52.6
3,Nevada,Incarnate Word,-4.0,7.5
4,Nevada,Iowa,-4.0,2.87
9,Nevada,San Diego State,-4.0,53.58
10,Nevada,San Jose State,-4.0,5.87
1,Nevada,New Mexico State,-3.0,10.79
2,Nevada,Texas State,-3.0,118.94
5,Nevada,Air Force,-3.0,25.09
7,Nevada,Colorado State,-3.0,28.09
8,Nevada,Hawaii,-3.0,59.21
3,Nevada,Incarnate Word,-3.0,9.62
4,Nevada,Iowa,-3.0,4.46
9,Nevada,San Diego State,-3.0,60.28
10,Nevada,San Jose State,-3.0,3.88
1,Nevada,New Mexico State,-2.0,8.27
2,Nevada,Texas State,-2.0,110.12
5,Nevada,Air Force,-2.0,29.49
7,Nevada,Colorado State,-2.0,32.83
8,Nevada,Hawaii,-2.0,66.21
3,Nevada,Incarnate Word,-2.0,12.01
4,Nevada,Iowa,-2.0,6.4
9,Nevada,San Diego State,-2.0,67.39
10,Nevada,San Jose State,-2.0,2.3
1,Nevada,New Mexico State,-1.0,6.07
2,Nevada,Texas State,-1.0,101.63
5,Nevada,Air Force,-1.0,34.24
7,Nevada,Colorado State,-1.0,37.93
8,Nevada,Hawaii,-1.0,73.6
3,Nevada,Incarnate Word,-1.0,14.66
4,Nevada,Iowa,-1.0,8.69
9,Nevada,San Diego State,-1.0,74.89
10,Nevada,San Jose State,-1.0,1.13
1,Nevada,New Mexico State,0.0,4.22
2,Nevada,Texas State,0.0,93.48
5,Nevada,Air Force,0.0,39.34
7,Nevada,Colorado State,0.0,43.41
8,Nevada,Hawaii,0.0,81.38
3,Nevada,Incarnate Word,0.0,17.57
4,Nevada,Iowa,0.0,11.33
9,Nevada,San Diego State,0.0,82.78
10,Nevada,San Jose State,0.0,0.37
1,Nevada-Las Vegas,Idaho State,-9.0,46.13
6,Nevada-Las Vegas,New Mexico,-9.0,22.73
4,Nevada-Las Vegas,North Texas,-9.0,331.88
5,Nevada-Las Vegas,Utah State,-9.0,56.24
8,Nevada-Las Vegas,Air Force,-9.0,66.22
3,Nevada-Las Vegas,California,-9.0,25.53
9,Nevada-Las Vegas,Notre Dame,-9.0,0.64
7,Nevada-Las Vegas,San Jose State,-9.0,42.48
1,Nevada-Las Vegas,Idaho State,-8.0,41.38
6,Nevada-Las Vegas,New Mexico,-8.0,18.91
4,Nevada-Las Vegas,North Texas,-8.0,316.83
5,Nevada-Las Vegas,Utah State,-8.0,50.2
8,Nevada-Las Vegas,Air Force,-8.0,73.39
3,Nevada-Las Vegas,California,-8.0,21.57
9,Nevada-Las Vegas,Notre Dame,-8.0,0.13
7,Nevada-Las Vegas,San Jose State,-8.0,48.08
1,Nevada-Las Vegas,Idaho State,-7.0,36.89
6,Nevada-Las Vegas,New Mexico,-7.0,15.45
4,Nevada-Las Vegas,North Texas,-7.0,302.14
5,Nevada-Las Vegas,Utah State,-7.0,44.49
8,Nevada-Las Vegas,Air Force,-7.0,80.93
3,Nevada-Las Vegas,California,-7.0,17.94
9,Nevada-Las Vegas,Notre Dame,-7.0,0.01
7,Nevada-Las Vegas,San Jose State,-7.0,54.03
1,Nevada-Las Vegas,Idaho State,-6.0,32.65
6,Nevada-Las Vegas,New Mexico,-6.0,12.33
4,Nevada-Las Vegas,North Texas,-6.0,287.79
5,Nevada-Las Vegas,Utah State,-6.0,39.13
8,Nevada-Las Vegas,Air Force,-6.0,88.83
3,Nevada-Las Vegas,California,-6.0,14.65
9,Nevada-Las Vegas,Notre Dame,-6.0,0.26
7,Nevada-Las Vegas,San Jose State,-6.0,60.33
1,Nevada-Las Vegas,Idaho State,-5.0,28.67
6,Nevada-Las Vegas,New Mexico,-5.0,9.57
4,Nevada-Las Vegas,North Texas,-5.0,273.79
5,Nevada-Las Vegas,Utah State,-5.0,34.12
8,Nevada-Las Vegas,Air Force,-5.0,97.11
3,Nevada-Las Vegas,California,-5.0,11.69
9,Nevada-Las Vegas,Notre Dame,-5.0,0.9
7,Nevada-Las Vegas,San Jose State,-5.0,66.97
1,Nevada-Las Vegas,Idaho State,-4.0,24.96
6,Nevada-Las Vegas,New Mexico,-4.0,7.16
4,Nevada-Las Vegas,North Texas,-4.0,260.15
5,Nevada-Las Vegas,Utah State,-4.0,29.45
8,Nevada-Las Vegas,Air Force,-4.0,105.75
3,Nevada-Las Vegas,California,-4.0,9.06
9,Nevada-Las Vegas,Notre Dame,-4.0,1.93
7,Nevada-Las Vegas,San Jose State,-4.0,73.95
1,Nevada-Las Vegas,Idaho State,-3.0,21.49
6,Nevada-Las Vegas,New Mexico,-3.0,5.09
4,Nevada-Las Vegas,North Texas,-3.0,246.85
5,Nevada-Las Vegas,Utah State,-3.0,25.12
8,Nevada-Las Vegas,Air Force,-3.0,114.76
3,Nevada-Las Vegas,California,-3.0,6.77
9,Nevada-Las Vegas,Notre Dame,-3.0,3.33
7,Nevada-Las Vegas,San Jose State,-3.0,81.29
1,Nevada-Las Vegas,Idaho State,-2.0,18.29
6,Nevada-Las Vegas,New Mexico,-2.0,3.38
4,Nevada-Las Vegas,North Texas,-2.0,233.89
